BARCODE,IMEI1,IMEI2,SIM_NO,DELIVERY_DATE
WPX08M66SLF522020996,353612756949199,353612756949207,,01-JUN-22 00:02:59
WPX08M66SLF522056579,353612757660852,353612757660860,,01-JUN-22 00:02:59
WPX08M66SLF522056458,353612757658435,353612757658443,,01-JUN-22 00:02:59
WPX08M66SLF522056319,353612757655654,353612757655662,,01-JUN-22 00:02:59
WPX08M66SLF522036992,353612757269118,353612757269126,,01-JUN-22 00:02:59
WPX08M66SLF522055802,353612757645317,353612757645325,,01-JUN-22 00:02:59
WPX08M66SLF522055710,353612757643478,353612757643486,,01-JUN-22 00:02:59
WPX08M66SLF522037087,353612757271015,353612757271023,,01-JUN-22 00:02:59
WPX08M66SLF522056087,353612757651018,353612757651026,,01-JUN-22 00:02:59
WPX08M66SLF522045209,353612757433458,353612757433466,,01-JUN-22 00:06:02
WPX08M66SLF522018587,353612756901018,353612756901026,,01-JUN-22 00:06:02
WPX08M66SLF522018544,353612756900150,353612756900168,,01-JUN-22 00:06:02
WPX08M66SLF522006908,353612756667437,353612756667445,,01-JUN-22 00:06:02
WPX08M66SLF522051916,353612757567594,353612757567602,,01-JUN-22 00:06:02
WPX08M66SLF522047235,353612757473975,353612757473983,,01-JUN-22 00:06:02
WPX08M66SLF522045696,353612757443192,353612757443200,,01-JUN-22 00:06:02
WPX08M66SLF522023917,353612757007617,353612757007625,,01-JUN-22 00:06:02
WPX08M66SLF522043730,353612757403873,353612757403881,,01-JUN-22 00:06:02
WPX08M66SLF522039832,353612757325910,353612757325928,,01-JUN-22 00:06:02
WPX08M66SLF522039579,353612757320853,353612757320861,,01-JUN-22 00:06:02
WPX08M66SLF522038597,353612757301218,353612757301226,,01-JUN-22 00:06:02
WPX08M66SLF522036694,353612757263152,353612757263160,,01-JUN-22 00:06:02
WPX08M66SLF522033911,353612757207498,353612757207506,,01-JUN-22 00:06:02
WPX08M66SLF522064855,353612757826370,353612757826388,,01-JUN-22 00:08:23
WPX08M66SLF522038123,353612757291732,353612757291740,,01-JUN-22 00:08:23
WPX08M66SLF522068190,353612757893073,353612757893081,,01-JUN-22 00:08:23
WPX08M66SLF522037274,353612757274753,353612757274761,,01-JUN-22 00:08:23
WPX08M66SLF522044398,353612757417238,353612757417246,,01-JUN-22 00:08:23
WPX08M66SLF522037084,353612757270959,353612757270967,,01-JUN-22 00:08:23
WPX08M66SLF522049022,353612757509711,353612757509729,,01-JUN-22 00:08:23
WPX08M66SLF522065823,353612757845735,353612757845743,,01-JUN-22 00:08:23
WPX08M66SLF522051752,353612757564310,353612757564328,,01-JUN-22 00:08:23
WPX08M66SLF522068042,353612757890111,353612757890129,,01-JUN-22 00:08:23
WPX08M66SLF522046721,353612757463695,353612757463703,,01-JUN-22 00:08:23
WPX08M66SLF522066523,353612757859736,353612757859744,,01-JUN-22 00:08:23
WPX08M66SLF522047314,353612757475558,353612757475566,,01-JUN-22 00:08:23
WPX08M66SLF522039526,353612757319798,353612757319806,,01-JUN-22 00:08:23
WPX08M66SLF522038265,353612757294579,353612757294587,,01-JUN-22 14:40:52
WPX08M66SLF522037755,353612757284372,353612757284380,,01-JUN-22 14:40:52
WPX08M66SLF522080061,353612758130491,353612758130509,,01-JUN-22 14:40:52
WPXA2208SLF522016708,353612750742830,353612750742848,,01-JUN-22 14:40:52
WPX08M66SLF522080309,353612758135458,353612758135466,,01-JUN-22 14:40:52
WPX08M66SLF522069974,353612757928754,353612757928762,,01-JUN-22 14:40:52
WPX08M66SLF522044139,353612757412056,353612757412064,,01-JUN-22 14:40:52
WPX08M66SLF522041212,353612757353516,353612757353524,,01-JUN-22 14:40:52
WPX08M66SLF522065755,353612757844373,353612757844381,,01-JUN-22 14:40:52
WPX08M66SLF522070830,353612757945873,353612757945881,,01-JUN-22 14:40:52
WPX08M66SLF522059605,353612757721373,353612757721381,,01-JUN-22 17:20:12
WPX08M66SLF522054871,353612757626697,353612757626705,,01-JUN-22 17:20:12
WPX08M66SLF522033401,353612757197293,353612757197301,,01-JUN-22 17:20:12
WPX08M66SLF522065679,353612757842856,353612757842864,,01-JUN-22 17:20:12
WPX08M66SLF522038213,353612757293530,353612757293548,,01-JUN-22 17:20:12
WPX08M66SLF522084683,353612758222934,353612758222942,,01-JUN-22 19:58:50
WPX08M66SLF522076236,353612758053990,353612758054006,,01-JUN-22 19:58:50
WPX08M66SLF522067462,353612757878512,353612757878520,,01-JUN-22 19:58:50
WPX08M66SLF522076338,353612758056035,353612758056043,,01-JUN-22 19:58:50
WPX08M66SLF522074064,353612758010552,353612758010560,,01-JUN-22 19:58:50
WPX08M66SLF522046167,353612757452615,353612757452623,,01-JUN-22 19:58:50
WPX08M66SLF522079177,353612758112812,353612758112820,,01-JUN-22 20:53:50
WPX08M66SLF522037218,353612757273631,353612757273649,,01-JUN-22 20:53:50
WPX08M66SLF522078963,353612758108539,353612758108547,,01-JUN-22 20:53:50
WPX08M66SLF522079835,353612758125970,353612758125988,,01-JUN-22 20:53:50
WPX08M66SLF522089060,353612758310473,353612758310481,,02-JUN-22 00:41:32
WPX08M66SLF522086130,353612758251875,353612758251883,,02-JUN-22 09:35:18
WPX08M66SLF522074884,353612758026954,353612758026962,,02-JUN-22 09:35:18
WPX08M66SLF522099836,353612758525997,353612758526003,,02-JUN-22 09:35:18
WPX08M66SLF522085944,353612758248152,353612758248160,,02-JUN-22 10:50:39
WPX08M66SLF522085711,353612758243492,353612758243500,,02-JUN-22 10:50:39
WPX08M66SLF522085573,353612758240738,353612758240746,,02-JUN-22 10:50:39
WPX08M66SLF522057283,353612757674937,353612757674945,,02-JUN-22 10:50:39
WPX08M66SLF522036824,353612757265751,353612757265769,,02-JUN-22 10:50:39
WPX08M66SLF522045540,353612757440073,353612757440081,,02-JUN-22 10:50:39
WPX08M66SLF522068580,353612757900878,353612757900886,,02-JUN-22 10:50:39
WPXA2208SLF522019317,353612750795010,353612750795028,,02-JUN-22 13:15:35
WPX08M66SLF522095195,353612758433176,353612758433184,,02-JUN-22 14:38:51
WPX08M66SLF522101619,353612758561653,353612758561661,,02-JUN-22 14:38:51
WPX08M66SLF522088109,353612758291459,353612758291467,,02-JUN-22 14:38:51
WPX08M66SLF522086177,353612758252816,353612758252824,,02-JUN-22 14:38:51
WPX08M66SLF522089097,353612758311216,353612758311224,,02-JUN-22 14:38:51
WPX08M66SLF522096295,353612758455179,353612758455187,,02-JUN-22 14:38:51
WPX08M66SLF522100807,353612758545417,353612758545425,,02-JUN-22 14:38:51
WPX08M66SLF522086185,353612758252972,353612758252980,,02-JUN-22 14:38:51
WPX08M66SLF522085742,353612758244110,353612758244128,,02-JUN-22 16:43:48
WPX08M66SLF522089486,353612758318997,353612758319003,,02-JUN-22 19:31:33
WPX08M66SLF522100808,353612758545433,353612758545441,,02-JUN-22 19:31:33
WPX08M66SLF522097126,353612758471796,353612758471804,,02-JUN-22 19:31:33
WPX08M66SLF522094918,353612758427632,353612758427640,,02-JUN-22 19:31:33
WPX08M66SLF522021136,353612756951997,353612756952003,,02-JUN-22 19:31:33
WPX08M66SLF522093751,353612758404292,353612758404300,,02-JUN-22 19:31:33
WPX08M66SLF522094898,353612758427236,353612758427244,,02-JUN-22 19:31:33
WPX08M66SLF522021109,353612756951450,353612756951468,,02-JUN-22 19:31:33
WPX08M66SLF522020359,353612756936451,353612756936469,,02-JUN-22 19:31:33
WPX08M66SLF522018373,353612756896739,353612756896747,,02-JUN-22 19:31:33
WPX08M66SLF522056668,353612757662635,353612757662643,,02-JUN-22 19:31:33
WPX08M66SLF522039229,353612757313858,353612757313866,,02-JUN-22 19:31:33
WPX08M66SLF522040141,353612757332098,353612757332106,,02-JUN-22 19:31:33
WPX08M66SLF522098140,353612758492073,353612758492081,,02-JUN-22 23:56:40
WPX08M66SLF522095045,353612758430172,353612758430180,,02-JUN-22 23:56:40
WPX08M66SLF522094985,353612758428978,353612758428986,,02-JUN-22 23:56:40
WPX08M66SLF522039205,353612757313379,353612757313387,,02-JUN-22 23:56:40
WPX08M66SLF522098537,353612758500016,353612758500024,,02-JUN-22 23:56:40
WPX08M66SLF522085735,353612758243971,353612758243989,,03-JUN-22 03:48:32
WPX08M66SLF522082318,353612758175637,353612758175645,,03-JUN-22 03:48:32
WPX08M66SLF522072084,353612757970954,353612757970962,,03-JUN-22 09:36:50
WPX08M66SLF522086516,353612758259597,353612758259605,,03-JUN-22 11:00:23
WPX08M66SLF522095254,353612758434356,353612758434364,,03-JUN-22 13:17:42
WPX08M66SLF522022011,353612756969494,353612756969502,,03-JUN-22 13:17:42
WPX08M66SLF522013766,353612756804592,353612756804600,,03-JUN-22 13:17:42
WPX08M66SLF522097853,353612758486331,353612758486349,,03-JUN-22 16:45:11
WPX08M66SLF522101068,353612758550631,353612758550649,,03-JUN-22 16:45:11
WPX08M66SLF522027539,353612757080051,353612757080069,,03-JUN-22 21:11:00
WPX08M66SLF522094873,353612758426733,353612758426741,,03-JUN-22 21:11:00
WPX08M66SLF522066537,353612757860015,353612757860023,,03-JUN-22 21:11:00
WPX08M66SLF522025694,353612757043158,353612757043166,,03-JUN-22 21:11:00
WPXA2208SLF522017692,353612750762515,353612750762523,,03-JUN-22 22:55:37
WPXA2208SLF522010185,353612750612371,353612750612389,,03-JUN-22 22:55:37
WPX08M66SLF522098907,353612758507417,353612758507425,,04-JUN-22 12:56:02
WPX08M66SLF522088055,353612758290378,353612758290386,,04-JUN-22 12:56:02
WPX08M66SLF522092625,353612758381771,353612758381789,,04-JUN-22 16:55:15
WPX08M66SLF522092769,353612758384650,353612758384668,,04-JUN-22 16:55:15
WPX08M66SLF522092791,353612758385095,353612758385103,,04-JUN-22 16:55:15
WPX08M66SLF522090924,353612758347756,353612758347764,,04-JUN-22 16:55:15
WPX08M66SLF522090939,353612758348051,353612758348069,,04-JUN-22 16:55:15
WPX08M66SLF522091035,353612758349976,353612758349984,,04-JUN-22 16:55:15
WPX08M66SLF522032139,353612757172056,353612757172064,,04-JUN-22 16:55:15
WPX08M66SLF522092367,353612758376615,353612758376623,,04-JUN-22 16:55:15
WPX08M66SLF522092590,353612758381078,353612758381086,,04-JUN-22 16:55:15
WPX08M66SLF522020892,353612756947110,353612756947128,,04-JUN-22 16:55:15
WPX08M66SLF522091789,353612758365055,353612758365063,,04-JUN-22 16:55:15
WPX08M66SLF522091878,353612758366830,353612758366848,,04-JUN-22 16:55:15
WPX08M66SLF522091885,353612758366970,353612758366988,,04-JUN-22 16:55:15
WPX08M66SLF522091889,353612758367051,353612758367069,,04-JUN-22 16:55:15
WPX08M66SLF522032729,353612757183855,353612757183863,,04-JUN-22 19:32:46
WPX08M66SLF522091719,353612758363654,353612758363662,,04-JUN-22 19:32:46
WPX08M66SLF522091977,353612758368810,353612758368828,,05-JUN-22 12:52:46
WPX08M66SLF522092324,353612758375757,353612758375765,,05-JUN-22 12:52:46
WPX08M66SLF522092366,353612758376599,353612758376607,,05-JUN-22 12:52:46
WPX08M66SLF522092383,353612758376938,353612758376946,,05-JUN-22 12:52:46
WPX08M66SLF522092653,353612758382332,353612758382340,,05-JUN-22 12:52:46
WPX08M66SLF522092707,353612758383413,353612758383421,,05-JUN-22 12:52:46
WPX08M66SLF522083765,353612758204577,353612758204585,,05-JUN-22 12:52:46
WPX08M66SLF522090715,353612758343573,353612758343581,,05-JUN-22 12:52:46
WPX08M66SLF522090774,353612758344753,353612758344761,,05-JUN-22 12:52:46
WPX08M66SLF522090796,353612758345198,353612758345206,,05-JUN-22 12:52:46
WPX08M66SLF522091023,353612758349737,353612758349745,,05-JUN-22 12:52:46
WPX08M66SLF522091056,353612758350396,353612758350404,,05-JUN-22 12:52:46
WPX08M66SLF522091370,353612758356674,353612758356682,,05-JUN-22 12:52:46
WPX08M66SLF522091511,353612758359496,353612758359504,,05-JUN-22 12:52:46
WPX08M66SLF522091532,353612758359918,353612758359926,,05-JUN-22 12:52:46
WPX08M66SLF522091555,353612758360379,353612758360387,,05-JUN-22 12:52:46
WPX08M66SLF522091556,353612758360395,353612758360403,,05-JUN-22 12:52:46
WPX08M66SLF522091563,353612758360536,353612758360544,,05-JUN-22 12:52:46
WPX08M66SLF522091706,353612758363399,353612758363407,,05-JUN-22 12:52:46
WPX08M66SLF522091743,353612758364132,353612758364140,,05-JUN-22 12:52:46
WPX08M66SLF522091775,353612758364777,353612758364785,,05-JUN-22 12:52:46
WPX08M66SLF522091976,353612758368794,353612758368802,,05-JUN-22 12:52:46
WPX08M66SLF522057161,353612757672493,353612757672501,,05-JUN-22 12:52:46
WPX08M66SLF522016001,353612756849290,353612756849308,,05-JUN-22 12:52:46
WPX08M66SLF522020822,353612756945718,353612756945726,,05-JUN-22 12:52:46
WPX08M66SLF522091982,353612758368919,353612758368927,,05-JUN-22 17:46:45
WPX08M66SLF522032654,353612757182352,353612757182360,,05-JUN-22 17:46:45
WPX08M66SLF522092730,353612758383876,353612758383884,,05-JUN-22 17:46:45
WPX08M66SLF522090769,353612758344654,353612758344662,,05-JUN-22 17:46:45
WPX08M66SLF522090838,353612758346030,353612758346048,,05-JUN-22 17:46:45
WPX08M66SLF522090970,353612758348671,353612758348689,,05-JUN-22 17:46:45
WPX08M66SLF522091052,353612758350313,353612758350321,,05-JUN-22 17:46:45
WPX08M66SLF522091311,353612758355494,353612758355502,,05-JUN-22 17:46:45
WPX08M66SLF522091541,353612758360098,353612758360106,,05-JUN-22 17:46:45
WPX08M66SLF522091727,353612758363811,353612758363829,,05-JUN-22 17:46:45
WPX08M66SLF522091746,353612758364199,353612758364207,,05-JUN-22 17:46:45
WPX08M66SLF522035199,353612757233254,353612757233262,,05-JUN-22 17:46:45
WPX08M66SLF522048871,353612757506691,353612757506709,,05-JUN-22 17:46:45
WPX08M66SLF522053838,353612757606038,353612757606046,,05-JUN-22 17:46:45
WPX08M66SLF522058425,353612757697771,353612757697789,,05-JUN-22 17:46:45
WPX08M66SLF522018031,353612756889890,353612756889908,,05-JUN-22 17:46:45
WPX08M66SLF522019579,353612756920851,353612756920869,,05-JUN-22 17:46:45
WPX08M66SLF522092714,353612758383553,353612758383561,,05-JUN-22 17:46:45
WPX08M66HSF122102462,353612750154911,353612750154929,,06-APR-22 09:42:39
WPX08M66HSF122104932,353612750204310,353612750204328,,06-APR-22 09:42:39
WPX08M66HSF122104792,353612750201514,353612750201522,,06-APR-22 09:42:39
WPX08M66HSF122102898,353612750163631,353612750163649,,06-APR-22 09:42:39
WPX08M66HSF122102070,353612750147071,353612750147089,,06-APR-22 11:15:04
WPX08M66HSF122104496,353612750195591,353612750195609,,06-APR-22 11:15:04
WPX08M66HSF122102413,353612750153939,353612750153947,,06-APR-22 11:37:38
WPX08M66SLF522025709,353612757043455,353612757043463,,06-JUN-22 12:15:06
WPX08M66SLF522016096,353612756851197,353612756851205,,06-JUN-22 12:15:06
WPX08M66SLF522092333,353612758375930,353612758375948,,06-JUN-22 12:15:06
WPX08M66SLF522091587,353612758361013,353612758361021,,06-JUN-22 12:15:06
WPX08M66SLF522091844,353612758366152,353612758366160,,06-JUN-22 16:10:37
WPX08M66SLF522091575,353612758360775,353612758360783,,06-JUN-22 16:10:37
WPX08M66SLF522057538,353612757680033,353612757680041,,07-JUN-22 08:44:49
WPX08M66SLF522091653,353612758362334,353612758362342,,07-JUN-22 08:44:49
WPX08M66SLF522092807,353612758385418,353612758385426,,07-JUN-22 11:21:03
WPX08M66SLF522092015,353612758369578,353612758369586,,07-JUN-22 19:11:13
WPX08M66SLF522082759,353612758184456,353612758184464,,07-JUN-22 19:11:13
WPX08M66SLF522048371,353612757496695,353612757496703,,07-JUN-22 19:11:13
WPX08M66SLF522090864,353612758346550,353612758346568,,07-JUN-22 21:57:34
WPX08M66HSF122102004,353612750145752,353612750145760,,08-JUN-22 17:06:48
WPX08M66HSF122104964,353612750204955,353612750204963,,08-JUN-22 17:06:48
WPX08M66HSF122102023,353612750146131,353612750146149,,08-JUN-22 17:06:48
WPX08M66HSF122102027,353612750146214,353612750146222,,08-JUN-22 17:06:48
WPX08M66HSF122102214,353612750149952,353612750149960,,08-JUN-22 17:06:48
WPX08M66HSF122102294,353612750151552,353612750151560,,08-JUN-22 17:06:48
WPX08M66HSF122102370,353612750153079,353612750153087,,08-JUN-22 17:06:48
WPX08M66HSF122102398,353612750153632,353612750153640,,08-JUN-22 17:06:48
WPX08M66HSF122102488,353612750155439,353612750155447,,08-JUN-22 17:06:48
WPX08M66HSF122102490,353612750155470,353612750155488,,08-JUN-22 17:06:48
WPX08M66HSF122102609,353612750157856,353612750157864,,08-JUN-22 17:06:48
WPX08M66HSF122102666,353612750158995,353612750159001,,08-JUN-22 17:06:48
WPX08M66HSF122102763,353612750160934,353612750160942,,08-JUN-22 17:06:48
WPX08M66HSF122102805,353612750161775,353612750161783,,08-JUN-22 17:06:48
WPX08M66HSF122103403,353612750173739,353612750173747,,08-JUN-22 17:06:48
WPX08M66HSF122103696,353612750179595,353612750179603,,08-JUN-22 17:06:48
WPX08M66HSF122104072,353612750187119,353612750187127,,08-JUN-22 17:06:48
WPX08M66HSF122104200,353612750189677,353612750189685,,08-JUN-22 17:06:48
WPX08M66HSF122104291,353612750191491,353612750191509,,08-JUN-22 17:06:48
WPX08M66HSF122104362,353612750192911,353612750192929,,08-JUN-22 17:06:48
WPX08M66HSF122104370,353612750193075,353612750193083,,08-JUN-22 17:06:48
WPX08M66HSF122104382,353612750193315,353612750193323,,08-JUN-22 17:06:48
WPX08M66HSF122104413,353612750193935,353612750193943,,08-JUN-22 17:06:48
WPX08M66HSF122104467,353612750195013,353612750195021,,08-JUN-22 17:06:48
WPX08M66HSF122104474,353612750195153,353612750195161,,08-JUN-22 17:06:48
WPX08M66HSF122104684,353612750199353,353612750199361,,08-JUN-22 17:06:48
WPX08M66HSF122104747,353612750200615,353612750200623,,08-JUN-22 17:06:48
WPX08M66HSF122104826,353612750202199,353612750202207,,08-JUN-22 17:06:48
WPX08M66HSF122104827,353612750202215,353612750202223,,08-JUN-22 17:06:48
WPX08M66HSF122104833,353612750202330,353612750202348,,08-JUN-22 17:06:48
WPX08M66HSF122104893,353612750203536,353612750203544,,08-JUN-22 17:06:48
WPX08M66HSF122104910,353612750203874,353612750203882,,08-JUN-22 17:06:48
WPX08M66HSF122104954,353612750204757,353612750204765,,08-JUN-22 17:06:48
WPX08M66HSF122104963,353612750204930,353612750204948,,08-JUN-22 17:06:48
WPX08M66HSF122102009,353612750145851,353612750145869,,08-JUN-22 17:06:48
WPX08M66HSF122104498,353612750195633,353612750195641,,10-APR-22 09:09:58
WPX08M66HSF122104958,353612750204831,353612750204849,,10-APR-22 09:09:58
WPX08M66HSF122102510,353612750155876,353612750155884,,10-APR-22 09:09:58
WPX08M66HSF122104477,353612750195211,353612750195229,,10-APR-22 09:09:58
WPX08M66HSF122104446,353612750194594,353612750194602,,10-APR-22 09:09:58
WPX08M66HSF122102024,353612750146156,353612750146164,,10-APR-22 15:59:08
WPX08M66HSF122104432,353612750194313,353612750194321,,11-APR-22 12:33:00
WPXA2208SLF522037896,353612751166591,353612751166609,,15-MAY-22 14:40:36
WPXA2208SLF522039336,353612751195392,353612751195400,,15-MAY-22 14:40:36
WPX08M66HSF122104482,353612750195310,353612750195328,,16-APR-22 10:02:43
WPX08M66HSF122104247,353612750190618,353612750190626,,16-APR-22 15:22:03
WPX08M66HSF122102481,353612750155298,353612750155306,,16-APR-22 15:22:03
WPX08M66HSF122104314,353612750191954,353612750191962,,16-APR-22 15:22:03
WPX08M66HSF122104418,353612750194032,353612750194040,,16-APR-22 15:22:03
WPX08M66HSF122104243,353612750190535,353612750190543,,16-APR-22 15:22:03
WPX08M66HSF122105045,353612750206570,353612750206588,,16-APR-22 15:22:03
WPX08M66HSF122104967,353612750205010,353612750205028,,16-APR-22 15:22:03
WPX08M66HSF122104953,353612750204732,353612750204740,,16-APR-22 15:22:03
WPX08M66HSF122104923,353612750204138,353612750204146,,16-APR-22 15:22:03
WPX08M66HSF122104920,353612750204070,353612750204088,,16-APR-22 15:22:03
WPX08M66HSF122104918,353612750204039,353612750204047,,16-APR-22 15:22:03
WPX08M66HSF122104892,353612750203510,353612750203528,,16-APR-22 15:22:03
WPX08M66HSF122104882,353612750203312,353612750203320,,16-APR-22 15:22:03
WPX08M66HSF122104870,353612750203072,353612750203080,,16-APR-22 15:22:03
WPX08M66HSF122104284,353612750191350,353612750191368,,16-APR-22 15:22:03
WPX08M66HSF122102415,353612750153970,353612750153988,,16-APR-22 15:22:03
WPX08M66HSF122102329,353612750152253,353612750152261,,16-APR-22 15:22:03
WPX08M66HSF122102211,353612750149895,353612750149903,,16-APR-22 15:22:03
WPX08M66HSF122102093,353612750147535,353612750147543,,16-APR-22 15:22:03
WPX08M66HSF122102868,353612750163037,353612750163045,,16-APR-22 15:22:03
WPX08M66HSF122104466,353612750194990,353612750195005,,16-APR-22 15:22:03
WPX08M66HSF122104485,353612750195377,353612750195385,,16-APR-22 15:22:03
WPX08M66HSF122104486,353612750195393,353612750195401,,16-APR-22 15:22:03
WPX08M66HSF122102918,353612750164035,353612750164043,,16-APR-22 15:22:03
WPX08M66HSF122102946,353612750164597,353612750164605,,16-APR-22 15:22:03
WPX08T10OBF022200702,353612750220712,353612750220720,,16-APR-22 16:38:49
WPX08T10OBF022202597,353612750258613,353612750258621,,16-APR-22 16:38:49
WPX08T10OBF022204512,353612750296910,353612750296928,,16-APR-22 16:38:49
WPX08T10OBF022200733,353612750221330,353612750221348,,17-APR-22 08:37:35
WPX08T10OBF022202146,353612750249596,353612750249604,,17-APR-22 08:37:35
WPX08T10OBF022209318,353612750393030,353612750393048,,17-APR-22 19:31:40
WPX08M66OBF122100073,353612750002136,353612750002144,,17-MAY-22 11:35:52
WPX08M66OBF122100075,353612750002177,353612750002185,,17-MAY-22 11:35:52
WPX08M66OBF122100077,353612750002219,353612750002227,,17-MAY-22 11:35:52
WPX08M66OBF122100078,353612750002235,353612750002243,,17-MAY-22 11:35:52
WPX08M66OBF122100079,353612750002250,353612750002268,,17-MAY-22 11:35:52
WPX08M66OBF122100080,353612750002276,353612750002284,,17-MAY-22 11:35:52
WPX08M66OBF122100082,353612750002318,353612750002326,,17-MAY-22 11:35:52
WPX08M66OBF122100083,353612750002334,353612750002342,,17-MAY-22 11:35:52
WPX08M66OBF122100088,353612750002433,353612750002441,,17-MAY-22 11:35:52
WPX08M66OBF122100089,353612750002458,353612750002466,,17-MAY-22 11:35:52
WPX08M66OBF122100091,353612750002490,353612750002508,,17-MAY-22 11:35:52
WPX08M66OBF122100092,353612750002516,353612750002524,,17-MAY-22 11:35:52
WPX08M66OBF122100095,353612750002573,353612750002581,,17-MAY-22 11:35:52
WPX08M66OBF122100096,353612750002599,353612750002607,,17-MAY-22 11:35:52
