BARCODE,IMEI1,IMEI2,SIM_NO,DELIVERY_DATE
WPXP2208SLF522003927,353612752527411,353612752527429,8801847717018,05/07/2022 19:07:42
WPXP2208SLF522003757,353612752524012,353612752524020,8801847717696,05/07/2022 19:07:42
WPXP2208SLF522003764,353612752524152,353612752524160,8801847717463,05/07/2022 19:07:42
WPXP2208SLF522006850,353612752585872,353612752585880,8801847717624,05/07/2022 19:07:42
WPXP2208SLF522002792,353612752504717,353612752504725,8801844369554,05/07/2022 19:07:42
WPXP2208SLF522002794,353612752504758,353612752504766,8801844369738,05/07/2022 19:07:42
WPXP2208SLF522002795,353612752504774,353612752504782,8801844369422,05/07/2022 19:07:42
WPXP2208SLF522002798,353612752504832,353612752504840,8801844369718,05/07/2022 19:07:42
WPXP2208SLF522002802,353612752504915,353612752504923,8801844369722,05/07/2022 19:07:42
WPXP2208SLF522002807,353612752505011,353612752505029,8801844369657,05/07/2022 19:07:42
WPXP2208SLF522002809,353612752505052,353612752505060,8801844369652,05/07/2022 19:07:42
WPXP2208SLF522002810,353612752505078,353612752505086,8801844369447,05/07/2022 19:07:42
WPXP2208SLF522002811,353612752505094,353612752505102,8801844369719,05/07/2022 19:07:42
WPXP2208SLF522002818,353612752505235,353612752505243,8801844369728,05/07/2022 19:07:42
WPXP2208SLF522002821,353612752505292,353612752505300,8801844369510,05/07/2022 19:07:42
WPXP2208SLF522002824,353612752505359,353612752505367,8801844369650,05/07/2022 19:07:42
WPXP2208SLF522002828,353612752505433,353612752505441,8801844369662,05/07/2022 19:07:42
WPXP2208SLF522002829,353612752505458,353612752505466,8801844369461,05/07/2022 19:07:42
WPXP2208SLF522002830,353612752505474,353612752505482,8801844369645,05/07/2022 19:07:42
WPXP2208SLF522002832,353612752505516,353612752505524,8801844369642,05/07/2022 19:07:42
WPXP2208SLF522002837,353612752505615,353612752505623,8801844369644,05/07/2022 19:07:42
WPXP2208SLF522002838,353612752505631,353612752505649,8801844369660,05/07/2022 19:07:42
WPXP2208SLF522002839,353612752505656,353612752505664,8801844369640,05/07/2022 19:07:42
WPXP2208SLF522002849,353612752505854,353612752505862,8801844369639,05/07/2022 19:07:42
WPXP2208SLF522002851,353612752505896,353612752505904,8801844369656,05/07/2022 19:07:42
WPXP2208SLF522002852,353612752505912,353612752505920,8801844369641,05/07/2022 19:07:42
WPXP2208SLF522002855,353612752505979,353612752505987,8801844369643,05/07/2022 19:07:42
WPXP2208SLF522002856,353612752505995,353612752506001,8801844369647,05/07/2022 19:07:42
WPXP2208SLF522002859,353612752506050,353612752506068,8801844369627,05/07/2022 19:07:42
WPXP2208SLF522002863,353612752506134,353612752506142,8801844369628,05/07/2022 19:07:42
WPXP2208SLF522002868,353612752506233,353612752506241,8801844369622,05/07/2022 19:07:42
WPXP2208SLF522002869,353612752506258,353612752506266,8801844369616,05/07/2022 19:07:42
WPXP2208SLF522002873,353612752506332,353612752506340,8801844369631,05/07/2022 19:07:42
WPXP2208SLF522002877,353612752506415,353612752506423,8801844369408,05/07/2022 19:07:42
WPXP2208SLF522002880,353612752506472,353612752506480,8801844369648,05/07/2022 19:07:42
WPXP2208SLF522002881,353612752506498,353612752506506,8801844369651,05/07/2022 19:07:42
WPXP2208SLF522002883,353612752506530,353612752506548,8801844369402,05/07/2022 19:07:42
WPXP2208SLF522003990,353612752528674,353612752528682,8801847716783,05/07/2022 19:07:42
WPXP2208SLF522002703,353612752502935,353612752502943,8801844369473,05/07/2022 19:07:42
WPXP2208SLF522002704,353612752502950,353612752502968,8801844369474,05/07/2022 19:07:42
WPXP2208SLF522002708,353612752503032,353612752503040,8801844369465,05/07/2022 19:07:42
WPXP2208SLF522002712,353612752503115,353612752503123,8801844369464,05/07/2022 19:07:42
WPXP2208SLF522002714,353612752503156,353612752503164,8801844369466,05/07/2022 19:07:42
WPXP2208SLF522002718,353612752503230,353612752503248,8801844369451,05/07/2022 19:07:42
WPXP2208SLF522002722,353612752503313,353612752503321,8801844369469,05/07/2022 19:07:42
WPXP2208SLF522002727,353612752503412,353612752503420,8801844369434,05/07/2022 19:07:42
WPXP2208SLF522002731,353612752503495,353612752503503,8801844370034,05/07/2022 19:07:42
WPXP2208SLF522002733,353612752503537,353612752503545,8801844369440,05/07/2022 19:07:42
WPXP2208SLF522002736,353612752503594,353612752503602,8801844369436,05/07/2022 19:07:42
WPXP2208SLF522002741,353612752503693,353612752503701,8801844369424,05/07/2022 19:07:42
WPXP2208SLF522002743,353612752503735,353612752503743,8801844369455,05/07/2022 19:07:42
WPXP2208SLF522002757,353612752504014,353612752504022,8801844369421,05/07/2022 19:07:42
WPXP2208SLF522002758,353612752504030,353612752504048,8801844369449,05/07/2022 19:07:42
WPXP2208SLF522002760,353612752504071,353612752504089,8801844369983,05/07/2022 19:07:42
WPXP2208SLF522002762,353612752504113,353612752504121,8801844369470,05/07/2022 19:07:42
WPXP2208SLF522002763,353612752504139,353612752504147,8801844370007,05/07/2022 19:07:42
WPXP2208SLF522002768,353612752504238,353612752504246,8801844369420,05/07/2022 19:07:42
WPXP2208SLF522002769,353612752504253,353612752504261,8801844369432,05/07/2022 19:07:42
WPXP2208SLF522002770,353612752504279,353612752504287,8801844369460,05/07/2022 19:07:42
WPXP2208SLF522002779,353612752504451,353612752504469,8801844369753,05/07/2022 19:07:42
WPXP2208SLF522002781,353612752504493,353612752504501,8801844369467,05/07/2022 19:07:42
WPXP2208SLF522002784,353612752504550,353612752504568,8801844369423,05/07/2022 19:07:42
WPXP2208SLF522002785,353612752504576,353612752504584,8801844369448,05/07/2022 19:07:42
WPXP2208SLF522002786,353612752504592,353612752504600,8801844369431,05/07/2022 19:07:42
WPXP2208SLF522002788,353612752504634,353612752504642,8801844369749,05/07/2022 19:07:42
WPXP2208SLF522002791,353612752504691,353612752504709,8801844369730,05/07/2022 19:07:42
WPXP2208SLF522006893,353612752586730,353612752586748,8801847717413,05/07/2022 19:07:42
WPXP2208SLF522006996,353612752588793,353612752588801,8801847717683,05/07/2022 19:07:42
WPXP2208SLF522001674,353612752482351,353612752482369,8801844369806,05/07/2022 19:07:42
WPXP2208SLF522001676,353612752482393,353612752482401,8801844369764,05/07/2022 19:07:42
WPXP2208SLF522001678,353612752482435,353612752482443,8801844370028,05/07/2022 19:07:42
WPXP2208SLF522001679,353612752482450,353612752482468,8801844369813,05/07/2022 19:07:42
WPXP2208SLF522001680,353612752482476,353612752482484,8801844370024,05/07/2022 19:07:42
WPXP2208SLF522001686,353612752482591,353612752482609,8801844370060,05/07/2022 19:07:42
WPXP2208SLF522001688,353612752482633,353612752482641,8801844369801,05/07/2022 19:07:42
WPXP2208SLF522001691,353612752482690,353612752482708,8801844369770,05/07/2022 19:07:42
WPXP2208SLF522001693,353612752482732,353612752482740,8801844369790,05/07/2022 19:07:42
WPXP2208SLF522001694,353612752482757,353612752482765,8801844370023,05/07/2022 19:07:42
WPXP2208SLF522001695,353612752482773,353612752482781,8801844369812,05/07/2022 19:07:42
WPXP2208SLF522001696,353612752482799,353612752482807,8801844370314,05/07/2022 19:07:42
WPXP2208SLF522001701,353612752482898,353612752482906,8801844369783,05/07/2022 19:07:42
WPXP2208SLF522001702,353612752482914,353612752482922,8801844370312,05/07/2022 19:07:42
WPXP2208SLF522001704,353612752482955,353612752482963,8801844369768,05/07/2022 19:07:42
WPXP2208SLF522002952,353612752507918,353612752507926,8801844369905,05/07/2022 19:07:42
WPXP2208SLF522002961,353612752508098,353612752508106,8801844369880,05/07/2022 19:07:42
WPXP2208SLF522002965,353612752508171,353612752508189,8801844369404,05/07/2022 19:07:42
WPXP2208SLF522002969,353612752508254,353612752508262,8801844369873,05/07/2022 19:07:42
WPXP2208SLF522002970,353612752508270,353612752508288,8801844369877,05/07/2022 19:07:42
WPXP2208SLF522002972,353612752508312,353612752508320,8801844369365,05/07/2022 19:07:42
WPXP2208SLF522002975,353612752508379,353612752508387,8801844369910,05/07/2022 19:07:42
WPXP2208SLF522002976,353612752508395,353612752508403,8801844369896,05/07/2022 19:07:42
WPXP2208SLF522002978,353612752508437,353612752508445,8801844369912,05/07/2022 19:07:42
WPXP2208SLF522002980,353612752508478,353612752508486,8801844369886,05/07/2022 19:07:42
WPXP2208SLF522002982,353612752508510,353612752508528,8801844369870,05/07/2022 19:07:42
WPXP2208SLF522002987,353612752508619,353612752508627,8801844369887,05/07/2022 19:07:42
WPXP2208SLF522002989,353612752508650,353612752508668,8801844369871,05/07/2022 19:07:42
WPXP2208SLF522002990,353612752508676,353612752508684,8801844369868,05/07/2022 19:07:42
WPXP2208SLF522002991,353612752508692,353612752508700,8801844369872,05/07/2022 19:07:42
WPXP2208SLF522002992,353612752508718,353612752508726,8801844369885,05/07/2022 19:07:42
